# Haus Kauf from immoscout24.de on 2015-08-09-17-49
ID,Adresse,Bilder,Features,Grundgriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
55085623,"Gönnsdorf/Pappritz, Dresden",3,[Provisionsfrei*],False,500 m²,Haus,,272.320 €,,,Kauf,01009,Dresden,Gönnsdorf/Pappritz,Die neue Generation: Passivhäuser von Bien-Zenker,128 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085707,"Klotzsche, Dresden",3,[Provisionsfrei*],False,500 m²,Haus,,262.600 €,,,Kauf,01309,Dresden,Klotzsche,Die neue Generation: Passivhäuser von Bien-Zenker,128 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085720,"Löbtau-Süd, Dresden",3,[Provisionsfrei*],False,370 m²,Haus,,194.990 €,,,Kauf,01189,Dresden,Löbtau-Süd,Käufer für ein wunderschönes Eigenheim in DD-Löbtau gesucht,124 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
55085784,"Talstraße, Cossebaude/Mobschatz/Oberwartha, Dresden",2,[Provisionsfrei*],False,660 m²,Haus,,179.990 €,51.08026,13.618,Kauf,01156,Dresden,Cossebaude/Mobschatz/Oberwartha,Preisgünstiges Niedrigenergiehaus in Cossebaude,125 m²,5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
57345505,"Hellerau/Wilschdorf, Dresden",1,[Provisionsfrei*],False,600 m²,Haus,,199.332 €,,,Kauf,01109,Dresden,Hellerau/Wilschdorf,Bien-Zenker-Aktionshaus in Hellerau,122 m²,4,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
61620744,"Bautzner Str. 10, Innere Neustadt, Dresden",5,[],False,600 m²,Haus,,1.100.000 €,51.06274,13.75086,Kauf,01099,Dresden,Innere Neustadt,"Wohn-und Geschäftshaus (Denkmal) m. romantischem Garten, komplett vermietet, gute Lage DD Neustadt ",677 m²,20,False,aebdf5df-9315-39b7-8071-57a0b078759f
64160218,"Altonaer Straße  21, Friedrichstadt, Dresden",10,[Provisionsfrei*],True,260 m²,Haus,,330.988 €,51.04933,13.70687,Kauf,01159,Dresden,Friedrichstadt, - Friedrichstädter Gartenhäuser- Kleines Idylisches Baugebiet -,156 m²,6,False,6ee69520-bafa-3e03-b505-cce920b129e2
65476940,"Weixdorf, Dresden",9,[],False,1.350 m²,Haus,,395.000 €,,,Kauf,01108,Dresden,Weixdorf,"Großz. EFH in idyll. Lage m. Terr., Pool, Wintergarten/Kamin, Sauna in DD-Weixdorf                 ",230 m²,8,False,e1b44548-d76b-39d6-a168-11eedfebe535
66921698,"Weinbergstraße, Cossebaude/Mobschatz/Oberwartha, Dresden",1,[Provisionsfrei*],False,695 m²,Haus,,280.331 €,51.08378,13.61842,Kauf,01156,Dresden,Cossebaude/Mobschatz/Oberwartha,Hier kann ihr Traumhaus stehen!,"124,17 m²",5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
66921731,"Tharandter Straße 1, Hellerau/Wilschdorf, Dresden",1,[Provisionsfrei*],False,1.500 m²,Haus,,180.331 €,,,Kauf,01109,Dresden,Hellerau/Wilschdorf,Hier kann ihr Traumhaus stehen!,"124,17 m²",5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
66921743,"Naußlitz, Dresden",1,[Provisionsfrei*],False,1.300 m²,Haus,,226.331 €,,,Kauf,01159,Dresden,Naußlitz,Hier kann ihr Traumhaus stehen!,"124,17 m²",5,False,0dae762a-ab5e-3165-b8e5-20f5bd058e37
68165600,"Zschierener Straße 8a, Kleinzschachwitz, Dresden",10,[],False,1.060 m²,Haus,,690.000 €,51.00668,13.8496,Kauf,01259,Dresden,Kleinzschachwitz,außergewöhnliche Villa in Kleinzschachwitz,245 m²,12,False,bacd69b6-7389-3d24-8ed1-9ba674fafaf3
68416627,"Lockwitz, Dresden",8,[Provisionsfrei*],True,600 m²,Haus,,229.900 €,,,Kauf,01068,Dresden,Lockwitz,"Grundstück in Dresden Nickern - auch Bungalow möglich, E70 Haus",138 m²,4,False,db8bbb18-cfa0-3dbd-90d1-38b4b3f12766
69536987,"Weixdorf, Dresden",14,[],False,2.200 m²,Haus,,995.000 €,,,Kauf,01108,Dresden,Weixdorf,Großz. EFH in idyll. Lage + Gewerbe + Vermietung im Paket in DD-Weixdorf                  ,500 m²,8,False,e1b44548-d76b-39d6-a168-11eedfebe535
70223158,"Großzschachwitz, Dresden",15,[],True,2.185 m²,Haus,,585.000 €,,,Kauf,01259,Dresden,Großzschachwitz,01259 Dresden...großzügiges Wohnen mit Studio im Dachgeschoss ....Haus inkl. Grundstück,235 m²,6,False,aa044318-09c9-39dd-908c-00e67e16ada1
71662076,"Briesnitz, Dresden",15,[],True,1.700 m²,Haus,,490.000 €,,,Kauf,01157,Dresden,Briesnitz,Idyllisch gelegenes EFH im Grünen m. Wintergarten u. gr. Süd-Terrasse in Stadtrandlage DD-Briesnitz,250 m²,6,False,e1b44548-d76b-39d6-a168-11eedfebe535
