# Wohnung Kauf from immoscout24.de on 2015-08-09-17-49
ID,Adresse,Bilder,Features,Grundgriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
42254349,"Hafenstrasse  2, Leipziger Vorstadt, Dresden",15,"[Balkon/Terrasse, Einbauküche, Garten]",True,,Wohnung,,210.000 €,51.06358,13.73421,Kauf,01097,Dresden,Leipziger Vorstadt,"Kleine Perle !! Dachgeschoss-Maisonette am Elbufer mit Blick zur Semperoper, Dachterrasse","109,4 m²",5,False,45308965-2040-3fcf-8227-f4ec56aed797
44112920,"Hauptstr. 30d, Bühlau/Weißer Hirsch, Dresden",19,"[Provisionsfrei*, Balkon/Terrasse]",True,,Wohnung,,225.000 €,,,Kauf,01454,Dresden,Bühlau/Weißer Hirsch,Großzügiges Wohnen-direkt an der Dresdner Heide,120 m²,4,False,99782221-6899-3ba0-ac7a-6a3e3e53a073
47416718,"Krenkelstraße 40, Striesen-West, Dresden",22,"[Balkon/Terrasse, Garten]",True,,Wohnung,,108.700 €,51.04819,13.77736,Kauf,01309,Dresden,Striesen-West,"**Striesen-energieeffiziente Stadtwohnung mit Südwest-Balkon, Wohnküche, Abstellr. usw.","75,58 m²",3,False,88fe3eac-769c-367c-a665-c30637a4308e
47873638,"Bühnaustraße 31, Löbtau-Süd, Dresden",2,"[Balkon/Terrasse, Einbauküche, Garten]",True,,Wohnung,,105.000 €,51.03954,13.6994,Kauf,01159,Dresden,Löbtau-Süd,Moderne Wohnung in schöner Lage mit Balkon und Fahrstuhl,"68,14 m²","2,5",False,05dffaec-a6a7-34c7-a997-4b5da3c54a4a
48316426,"Rückertstr. 12, Pieschen-Nord/Trachenberge, Dresden",4,[Einbauküche],True,,Wohnung,,50.000 €,51.0882,13.72542,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,Schicke kleine 2-RW mit EBK in Trachenberge,45 m²,2,False,e1b44548-d76b-39d6-a168-11eedfebe535
53658913,"Laasackerweg, Strehlen, Dresden",3,"[Provisionsfrei*, Balkon/Terrasse, Garten]",True,,Wohnung,,128.000 €,51.02046,13.77059,Kauf,01219,Dresden,Strehlen,Top 3-Zimmer Wohnung mit TG,"62,5 m²",3,True,d5e4597f-41fb-30cf-b039-35f9ce558fd9
54340157,"Klotzsche, Dresden",3,[Einbauküche],True,,Wohnung,,79.500 €,,,Kauf,01109,Dresden,Klotzsche,Ruhige Lage mit Blick in die Gärten,45 m²,2,False,03269460-a660-348e-8f91-01f8d6596cd2
54340291,"Klotzsche, Dresden",7,[Einbauküche],True,,Wohnung,,75.000 €,,,Kauf,01109,Dresden,Klotzsche,Klotzsche-Königswald - vermietet!,"45,03 m²",2,False,03269460-a660-348e-8f91-01f8d6596cd2
55374838,"Pieschen-Nord/Trachenberge, Dresden",11,"[Balkon/Terrasse, Einbauküche]",True,,Wohnung,,149.000 €,,,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,Qualität aus zweiter Hand - Maisonette in Dresden-Pieschen,"91,1 m²",3,False,cda08f67-a92e-3dae-997a-9747dbfaac85
56267123,"Bühlau/Weißer Hirsch, Dresden",2,[Balkon/Terrasse],False,,Wohnung,,199.000 €,,,Kauf,01324,Dresden,Bühlau/Weißer Hirsch,Haase & Kollegen:süße 2-Zimmer-Dachgeschoß-Wohnung im Denkmal mit Blick auf Dresden,55 m²,2,False,58a9153b-da76-3cc9-bda7-289d8b3d7ecf
