# Wohnung Miete from immoscout24.de on 2015-08-09-17-49
ID,Adresse,Bilder,Features,Grundgriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
32158558,"Cotta, Dresden",12,[Einbauküche],True,,Wohnung,395 €,,,,Miete,01157,Dresden,Cotta,"Sonn. ruh. 2-RW m. Wohnküche und EBK, 25 m² gr. WZ u. Laminat in DD-Cotta",60 m²,2,False,e1b44548-d76b-39d6-a168-11eedfebe535
33436307,"Leuckartstraße 4, Kaditz, Dresden",6,[Garten],False,,Wohnung,375 €,,51.08669,13.70031,Miete,01139,Dresden,Kaditz,Ruhe und Sonne am Elbepark,55 m²,2,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
34342048,"Reisewitzer Straße 66, Löbtau-Süd, Dresden",6,[Einbauküche],True,,Wohnung,475 €,,51.03619,13.70182,Miete,01159,Dresden,Löbtau-Süd,Schöne 3-Zimmerwohnung im sanierten Altbau mit Einbauküche,66 m²,3,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
36275407,"Pfotenhauer Straße 78, Johannstadt-Nord, Dresden",5,[Einbauküche],True,,Wohnung,257 €,,51.05777,13.77354,Miete,01307,Dresden,Johannstadt-Nord,Hübsche Singlewohnung mit hochwertiger Ausstattung Nähe Uniklinik,27 m²,1,False,9006fd9e-e9fb-3f05-a584-b641c55f5f5f
37061750,"Bürgerstraße 77, Pieschen-Süd, Dresden",8,[Einbauküche],True,,Wohnung,336 €,,51.07729,13.71924,Miete,01127,Dresden,Pieschen-Süd,Gemütliche 2-Zi.-Wohnung mit Einbauküche,48 m²,2,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
38613429,"Kötzschenbroder Straße 42, Mickten, Dresden",6,"[Balkon/Terrasse, Einbauküche]",True,,Wohnung,340 €,,51.07775,13.70748,Miete,01139,Dresden,Mickten,2-Zi.-Wohnung mit Super-Ausstattung direkt an der Elbe,42 m²,2,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
40753390,"Äußere Neustadt (Antonstadt), Dresden",5,[],True,,Wohnung,700 €,,,,Miete,01099,Dresden,Äußere Neustadt (Antonstadt),Schöne elbnahe 3-RW (WG geeign.) mit Wohnküche  in der Neustädter Citylage unweit v. Rosengarten,"82,34 m²",3,False,e1b44548-d76b-39d6-a168-11eedfebe535
44559082,"Altplauen 4, Plauen, Dresden",2,[Garten],True,,Wohnung,340 €,,51.02969,13.70577,Miete,01187,Dresden,Plauen,Hochwertig sanierte 2-Raum-Wohnung,52 m²,2,True,cdfeeba2-4ac4-3a54-b9a9-b1ed3d5d1e62
44613800,"Troppauer Straße 19, Laubegast, Dresden",4,[Einbauküche],True,,Wohnung,170 €,,51.02784,13.83128,Miete,01279,Dresden,Laubegast,gemütliche 1-Raumwohnung in Laubegast,"18,32 m²",1,False,b55bf1ac-7688-31d1-90b1-2e28e6b2cd04
44969575,"Waldheimer Str. 27, Löbtau-Süd, Dresden",4,"[Einbauküche, Garten]",True,,Wohnung,330 €,,51.0351,13.70127,Miete,01159,Dresden,Löbtau-Süd,Junges Wohnen - Nähe TU,53 m²,2,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
45822637,"Holbeinstraße 98, Striesen-West, Dresden",6,"[Balkon/Terrasse, Garten]",True,,Wohnung,670 €,,51.0473,13.77907,Miete,01309,Dresden,Striesen-West,Familienfreundliche 3-Zimmer Wohnung mit Balkon in Striesen,80 m²,3,False,c6fc9057-4740-3d1e-a735-3cc63e644a0f
47959977,"Mildred-Scheel-Str. 4, Johannstadt-Nord, Dresden",9,"[Balkon/Terrasse, Einbauküche]",True,,Wohnung,320 €,,51.05419,13.78382,Miete,01307,Dresden,Johannstadt-Nord,Singlewohnung EBK und kleiner Dachterrasse,"36,2 m²",1,False,9d2dad87-4bef-371f-af55-a1cd7d1232fe
