ID,Adresse,Bilder,Features,From,Grundgriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
32158558,"Cotta, Dresden",12,[Einbauküche],Frau Sabine Socha,True,,Wohnung,395 €,,,,Miete,01157,Dresden,Cotta,"Sonn. ruh. 2-RW m. Wohnküche und EBK, 25 m² gr. WZ u. Laminat in DD-Cotta",60 m²,2,False,e1b44548-d76b-39d6-a168-11eedfebe535
33436307,"Leuckartstraße 4, Kaditz, Dresden",6,[Garten],Frau K. Heller,False,,Wohnung,375 €,,51.08669,13.70031,Miete,01139,Dresden,Kaditz,Ruhe und Sonne am Elbepark,55 m²,2,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
34342048,"Reisewitzer Straße 66, Löbtau-Süd, Dresden",6,[Einbauküche],Frau K. Stelmaszyk,True,,Wohnung,475 €,,51.03619,13.70182,Miete,01159,Dresden,Löbtau-Süd,Schöne 3-Zimmerwohnung im sanierten Altbau mit Einbauküche,66 m²,3,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
36275407,"Pfotenhauer Straße 78, Johannstadt-Nord, Dresden",5,[Einbauküche],Frau M. Müller,True,,Wohnung,257 €,,51.05777,13.77354,Miete,01307,Dresden,Johannstadt-Nord,Hübsche Singlewohnung mit hochwertiger Ausstattung Nähe Uniklinik,27 m²,1,False,9006fd9e-e9fb-3f05-a584-b641c55f5f5f
37061750,"Bürgerstraße 77, Pieschen-Süd, Dresden",8,[Einbauküche],Frau K. Stelmaszyk,True,,Wohnung,336 €,,51.07729,13.71924,Miete,01127,Dresden,Pieschen-Süd,Gemütliche 2-Zi.-Wohnung mit Einbauküche,48 m²,2,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
38613429,"Kötzschenbroder Straße 42, Mickten, Dresden",6,"[Balkon/Terrasse, Einbauküche]",Frau K. Stelmaszyk,True,,Wohnung,340 €,,51.07775,13.70748,Miete,01139,Dresden,Mickten,2-Zi.-Wohnung mit Super-Ausstattung direkt an der Elbe,42 m²,2,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
40753390,"Äußere Neustadt (Antonstadt), Dresden",5,[],Frau Sabine Socha,True,,Wohnung,700 €,,,,Miete,01099,Dresden,Äußere Neustadt (Antonstadt),Schöne elbnahe 3-RW (WG geeign.) mit Wohnküche  in der Neustädter Citylage unweit v. Rosengarten,"82,34 m²",3,False,e1b44548-d76b-39d6-a168-11eedfebe535
42254349,"Hafenstrasse  2, Leipziger Vorstadt, Dresden",15,"[Balkon/Terrasse, Einbauküche, Garten]", HÄSE-IMMOBILIEN,True,,Wohnung,,210.000 €,51.06358,13.73421,Kauf,01097,Dresden,Leipziger Vorstadt,"Kleine Perle !! Dachgeschoss-Maisonette am Elbufer mit Blick zur Semperoper, Dachterrasse","109,4 m²",5,False,45308965-2040-3fcf-8227-f4ec56aed797
44112920,"Hauptstr. 30d, Bühlau/Weißer Hirsch, Dresden",19,"[Provisionsfrei*, Balkon/Terrasse]",Frau Nora Taschew,True,,Wohnung,,225.000 €,,,Kauf,01454,Dresden,Bühlau/Weißer Hirsch,Großzügiges Wohnen-direkt an der Dresdner Heide,120 m²,4,False,99782221-6899-3ba0-ac7a-6a3e3e53a073
44559082,"Altplauen 4, Plauen, Dresden",2,[Garten],Herr Petkow,True,,Wohnung,340 €,,51.02969,13.70577,Miete,01187,Dresden,Plauen,Hochwertig sanierte 2-Raum-Wohnung,52 m²,2,True,cdfeeba2-4ac4-3a54-b9a9-b1ed3d5d1e62
44613800,"Troppauer Straße 19, Laubegast, Dresden",4,[Einbauküche],Frau Pilz,True,,Wohnung,170 €,,51.02784,13.83128,Miete,01279,Dresden,Laubegast,gemütliche 1-Raumwohnung in Laubegast,"18,32 m²",1,False,b55bf1ac-7688-31d1-90b1-2e28e6b2cd04
44969575,"Waldheimer Str. 27, Löbtau-Süd, Dresden",4,"[Einbauküche, Garten]",Frau K. Heller,True,,Wohnung,330 €,,51.0351,13.70127,Miete,01159,Dresden,Löbtau-Süd,Junges Wohnen - Nähe TU,53 m²,2,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
45822637,"Holbeinstraße 98, Striesen-West, Dresden",6,"[Balkon/Terrasse, Garten]", ImmPrima GmbH Katja Bärisch,True,,Wohnung,670 €,,51.0473,13.77907,Miete,01309,Dresden,Striesen-West,Familienfreundliche 3-Zimmer Wohnung mit Balkon in Striesen,80 m²,3,False,c6fc9057-4740-3d1e-a735-3cc63e644a0f
47416718,"Krenkelstraße 40, Striesen-West, Dresden",22,"[Balkon/Terrasse, Garten]",Herr Steffen Hallmann,True,,Wohnung,,108.700 €,51.04819,13.77736,Kauf,01309,Dresden,Striesen-West,"**Striesen-energieeffiziente Stadtwohnung mit Südwest-Balkon, Wohnküche, Abstellr. usw.","75,58 m²",3,False,88fe3eac-769c-367c-a665-c30637a4308e
47873638,"Bühnaustraße 31, Löbtau-Süd, Dresden",2,"[Balkon/Terrasse, Einbauküche, Garten]", Michael Freund,True,,Wohnung,,105.000 €,51.03954,13.6994,Kauf,01159,Dresden,Löbtau-Süd,Moderne Wohnung in schöner Lage mit Balkon und Fahrstuhl,"68,14 m²","2,5",False,05dffaec-a6a7-34c7-a997-4b5da3c54a4a
47959977,"Mildred-Scheel-Str. 4, Johannstadt-Nord, Dresden",9,"[Balkon/Terrasse, Einbauküche]",Herr Rudolf Hamann,True,,Wohnung,320 €,,51.05419,13.78382,Miete,01307,Dresden,Johannstadt-Nord,Singlewohnung EBK und kleiner Dachterrasse,"36,2 m²",1,False,9d2dad87-4bef-371f-af55-a1cd7d1232fe
48316426,"Rückertstr. 12, Pieschen-Nord/Trachenberge, Dresden",4,[Einbauküche],Frau Sabine Socha,True,,Wohnung,,50.000 €,51.0882,13.72542,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,Schicke kleine 2-RW mit EBK in Trachenberge,45 m²,2,False,e1b44548-d76b-39d6-a168-11eedfebe535
49079096,"Stollestr. 68, Löbtau-Nord, Dresden",6,[Garten],Frau Renate Boedecker,True,,Wohnung,351 €,,51.04377,13.68649,Miete,01159,Dresden,Löbtau-Nord,ruhige kl. 3-R-DG-Whg in DD-Löbtau WG-geeignet,54 m²,3,False,bf9bc17b-573e-3988-b2ae-e4a239abd83c
49158841,"Johannstadt-Nord, Dresden",17,[],Herr Jean Winkler,True,,Wohnung,475 €,,,,Miete,01307,Dresden,Johannstadt-Nord,Großräumige helle 2. Zi. - Wohnung im sanierten Altbau direkt an den Elbwiesen,"69,4 m²",2,False,e90e15fc-40f0-3f5a-8f2b-2fed53d342cc
