# Haus Miete from immoscout24.de on 2016-09-28-09-30
ID,Adresse,Bilder,Features,Grundriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
41853109,"Loschwitz/Wachwitz, Dresden",9,[Gäste-WC],True,500 m²,Haus,1.900 €,,,,Miete,01326,Dresden,Loschwitz/Wachwitz,Winzerhaus am Elbhang Dresden Loschwitz,144 m²,4,True,b96c4d52-6c47-3cd2-b1bd-8587acdfc512
85769493,"Max-Schwan-Straße 3, Cossebaude/Mobschatz/Oberwartha, Dresden",17,[Gäste-WC],True,200 m²,Haus,1.150 €,,51.08079,13.60226,Miete,01156,Dresden,Cossebaude/Mobschatz/Oberwartha,Nur noch eine Mieteinheit in idyllischer Lage!,132 m²,5,False,0a6a2cd0-bc9a-3adf-86d0-bee31c6c3c2a
87743082,"Südhöhe  29c, Kleinpestitz/Mockritz, Dresden",35,[Gäste-WC],False,300 m²,Haus,1.650 €,,51.01911,13.74168,Miete,01217,Dresden,Kleinpestitz/Mockritz,Wohnen wie im Eigenheim - schönes Reihenendhaus in guter Lage von Dresden/Mockritz zu vermieten,180 m²,6,False,aebdf5df-9315-39b7-8071-57a0b078759f
88390014,"Hermann-Hesse-Straße 22b, Bühlau/Weißer Hirsch, Dresden",21,[Gäste-WC],True,135 m²,Haus,1.425 €,,51.06469,13.82039,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"traumhaftes Reihenmittelhaus mit 5 Zimmern im sanierten Altbau, Dr. Lahmann Park","131,75 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88390784,"Hermann-Hesse-Straße 22c, Bühlau/Weißer Hirsch, Dresden",18,[Gäste-WC],True,145 m²,Haus,1.635 €,,51.065,13.82041,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"traumhaftes Reihenmittelhaus mit 5 Zimmern im sanierten Altbau, Dr. Lahmann Park","151,95 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88390872,"Hermann-Hesse-Straße 24, Bühlau/Weißer Hirsch, Dresden",16,[Gäste-WC],True,188 m²,Haus,1.675 €,,51.06475,13.82036,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"großzügiges Reihenmittelhaus mit 5 Zimmern im sanierten Altbau, Dr. Lahmann Park","157,5 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88391030,"Hermann-Hesse-Straße 24c, Bühlau/Weißer Hirsch, Dresden",18,[Gäste-WC],True,377 m²,Haus,1.550 €,,51.06465,13.82053,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"lichtdurchflutetes Reiheneckhaus mit 5 Zimmern im sanierten Altbau, Dr. Lahmann Park","166,15 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88394618,"Äußere Neustadt (Antonstadt), Dresden",4,[],True,200 m²,Haus,920 €,,,,Miete,01099,Dresden,Äußere Neustadt (Antonstadt),Erstbezug im Hinterhaus in ruhiger Neustadtlage,83 m²,3,False,fcd8cc03-a800-30a3-bfbc-a09945f1b495
88506851,"Hermann-Hesse-Straße 24b, Bühlau/Weißer Hirsch, Dresden",15,[Gäste-WC],True,133 m²,Haus,1.570 €,,51.06465,13.82039,Miete,01324,Dresden,Bühlau/Weißer Hirsch,hochwertig sanierter Altbau: Reihenmittelhaus mit 5 Zimmer im Dr. Lahmann Park,"142,8 m²",5,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88862451,"Cotta, Dresden",12,[Gäste-WC],True,280 m²,Haus,1.270 €,,,,Miete,01157,Dresden,Cotta,Wohnen Sie 25 Jahre mit konstanter Miete!,128 m²,5,False,29ae2ee1-09b2-36a5-9e64-1d8be164b601
88865833,"Cottaer Straße 19, Friedrichstadt, Dresden",10,[Gäste-WC],True,7.100 m²,Haus,"2.089,92 €",,51.0509,13.71009,Miete,01159,Dresden,Friedrichstadt,"Reihenhaus:Erstbezug mit Garten,Parkett & EBK","149,28 m²","4,5",False,ef58efad-8f89-351d-a12d-676db68b005d
88866019,"Cottaer Straße 19, Friedrichstadt, Dresden",12,[Gäste-WC],True,7.100 m²,Haus,"2.240,70 €",,51.0509,13.71009,Miete,01159,Dresden,Friedrichstadt,"Reihenhaus:Erstbezug mit Garten,Parkett & EBK","160,05 m²","6,5",False,ef58efad-8f89-351d-a12d-676db68b005d
89071010,"Radeberger Vorstadt, Dresden",13,[Einbauküche],False,614 m²,Haus,2.460 €,,,,Miete,01099,Dresden,Radeberger Vorstadt,Moderne Stadtvilla in Toplage,259 m²,10,False,ae9dc83e-509d-3da1-af37-cfbbdcad6b68
89515639,"Blasewitz, Dresden",10,[Einbauküche],True,1.510 m²,Haus,1.950 €,,,,Miete,01309,Dresden,Blasewitz,Exclusive Villenhälfte in Dresden Blasewitz mieten,244 m²,6,False,181a5f40-51b7-3ed1-a866-69fbbf3ba5f5
89638315,"Klotzsche, Dresden",7,[],False,0 m²,Haus,580 €,,,,Miete,01109,Dresden,Klotzsche,"* ruhiges, kleines Gartenhaus in herrlicher Lage mit Terrasse *",50 m²,2,False,3b875002-992a-3a7e-94ad-0dcaf028d8f0
