# Wohnung Kauf from immoscout24.de on 2016-09-28-09-30
ID,Adresse,Bilder,Features,Grundriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
48316426,"Rückertstr. 12, Pieschen-Nord/Trachenberge, Dresden",4,"[Einbauküche, Keller, Aufzug]",True,,Wohnung,,50.000 €,51.0882,13.72542,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,Schicke kleine 2-RW mit EBK in Trachenberge,45 m²,2,False,e1b44548-d76b-39d6-a168-11eedfebe535
53658913,"Strehlen, Dresden",3,"[Provisionsfrei*, Balkon/Terrasse, Garten, Keller, Stufenlos]",True,,Wohnung,,128.000 €,,,Kauf,01219,Dresden,Strehlen,Top 3-Zimmer Wohnung mit TG,"62,5 m²",3,True,ce4ffccd-e5c4-3467-92be-875bc99948b2
54340291,"Klotzsche, Dresden",14,[Einbauküche],True,,Wohnung,,75.000 €,,,Kauf,01109,Dresden,Klotzsche,Klotzsche-Königswald - vermietet!,"45,03 m²",2,False,03269460-a660-348e-8f91-01f8d6596cd2
55354418,"Wöhlerstraße 1, Mickten, Dresden",9,"[Balkon/Terrasse, Garten, Keller]",True,,Wohnung,,88.000 €,51.08344,13.70859,Kauf,01139,Dresden,Mickten,Gemütliche 2RWE mit großem Balkon zu verkaufen!,"39,8 m²",2,False,deec3f7a-e578-39b3-8ece-94d17a8d4ad7
59060762,"Wormser Straße 50b, Striesen-West, Dresden",16,"[Balkon/Terrasse, Garten, Keller]",True,,Wohnung,,95.900 €,51.0465,13.78562,Kauf,01309,Dresden,Striesen-West,"*Etagenwohnung mit Süd-Balkon, Tageslichtbad+++Für Anleger auch 2 ETW möglich!","61,21 m²",3,False,88fe3eac-769c-367c-a665-c30637a4308e
59359762,"Helmholzstraße 4, Südvorstadt-Ost, Dresden",18,"[Balkon/Terrasse, Einbauküche, Garten, Keller, Gäste-WC, Aufzug]",True,,Wohnung,,490.000 €,,,Kauf,01069,Dresden,Südvorstadt-Ost,großzügige Dachgeschoßwohnung in der Südvorstadt,"202,43 m²",5,False,bacd69b6-7389-3d24-8ed1-9ba674fafaf3
59966227,"Leipziger Straße  48, Pieschen-Süd, Dresden",15,"[Balkon/Terrasse, Keller, Aufzug]",False,,Wohnung,,81.500 €,51.07246,13.7261,Kauf,01127,Dresden,Pieschen-Süd,Eigentumswohnung in Elbnähe ideal für Senioren,"58,64 m²",2,False,0dc37248-1ba1-351c-b76c-fa2fa5bffcf5
60890712,"Maxim-Gorki-Str. 78, Pieschen-Nord/Trachenberge, Dresden",10,"[Provisionsfrei*, Balkon/Terrasse, Einbauküche, Keller, Aufzug]",False,,Wohnung,,129.000 €,51.08992,13.72502,Kauf,01129,Dresden,Pieschen-Nord/Trachenberge,hochwertige 2 ZW in denkmalgeschütztem Objekt,60 m²,2,True,f7448967-38e6-3719-8bc6-b84b276fcb13
62716748,"Hauptstr. 30, Bühlau/Weißer Hirsch, Dresden",14,"[Provisionsfrei*, Balkon/Terrasse, Garten, Keller]",True,,Wohnung,,149.000 €,,,Kauf,01454,Dresden,Bühlau/Weißer Hirsch,Traumhaft sonnige Dachgeschosswohnung in ruhiger und grüner Lage,71 m²,2,False,d1011e47-eb6e-3334-a4e0-30aeecd51cfb
62851775,"Leipziger Vorstadt, Dresden",15,"[Balkon/Terrasse, Einbauküche, Garten, Keller, Aufzug]",True,,Wohnung,,75.000 €,,,Kauf,01097,Dresden,Leipziger Vorstadt,Sonn. 2-RW/gr. Balk./EBK/Blick ins Grüne/san. Gründerzeithaus/Leipz. Vorst.                         ,"55,25 m²",2,False,e1b44548-d76b-39d6-a168-11eedfebe535
