ID,Adresse,Bilder,Features,Grundriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
33278857,"Hörigstraße 35, Cotta, Dresden",8,"[Balkon/Terrasse, Keller]",True,,Wohnung,425 €,,51.05149,13.67989,Miete,01157,Dresden,Cotta,"2-R-Whg. mit großem Balkon, 1. OG, ruhige Lage","60,83 m²",2,False,1a1616c3-df8e-3e44-92c4-296a7c4f72ca
33318858,"Leipziger Vorstadt, Dresden",9,[Keller],True,,Wohnung,320 €,,,,Miete,01097,Dresden,Leipziger Vorstadt,1-RW im san. Gründerzeithaus in d. DD-Neustadt,"39,88 m²",1,False,e1b44548-d76b-39d6-a168-11eedfebe535
36263513,"Omsewitzer Str. 26, Cotta, Dresden",13,"[Garten, Keller]",True,,Wohnung,350 €,,51.05761,13.67714,Miete,01157,Dresden,Cotta,Helle 2 Raum WE mit Fenster u.  Wanne  im Bad - DD Cotta am Park,"53,61 m²",2,False,33dc3469-935d-3338-b023-4f20dab659b5
37077711,"Rankestraße 24, Kaditz, Dresden",4,"[Balkon/Terrasse, Garten, Keller]",False,,Wohnung,425 €,,51.08759,13.69978,Miete,01139,Dresden,Kaditz,Kinderfreundliche 3-Raum Wohnung mit Balkon,68 m²,3,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
37645766,"Malterstraße 42, Löbtau-Süd, Dresden",11,"[Balkon/Terrasse, Einbauküche]",True,,Wohnung,604 €,,51.04072,13.69129,Miete,01159,Dresden,Löbtau-Süd,Helle 3-Zimmer-Wohnung in 2-Familien-Haus,71 m²,3,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
39536922,"Bahnhofstraße 30, Großzschachwitz, Dresden",4,"[Balkon/Terrasse, Garten, Keller, Gäste-WC]",True,,Wohnung,745 €,,50.9998,13.83592,Miete,01259,Dresden,Großzschachwitz,Kinderfreundliche Wohnung mit Balkon und Wintergarten,"114,45 m²",5,False,d2341837-abcd-3fb1-9976-0fe5445e5eff
39556549,"Rankestraße 6, Kaditz, Dresden",12,"[Einbauküche, Keller]",True,,Wohnung,432 €,,51.08581,13.70389,Miete,01139,Dresden,Kaditz,Nähe Elbepark - Gemütliche Dachgeschosswohnung mit hochwertiger Einbauküche und Parkett,52 m²,2,False,f176e6d5-ae92-3950-a10b-63809cddaeb9
41853109,"Loschwitz/Wachwitz, Dresden",9,[Gäste-WC],True,500 m²,Haus,1.900 €,,,,Miete,01326,Dresden,Loschwitz/Wachwitz,Winzerhaus am Elbhang Dresden Loschwitz,144 m²,4,True,b96c4d52-6c47-3cd2-b1bd-8587acdfc512
42313236,"Bahnhofstr. 4, Cossebaude/Mobschatz/Oberwartha, Dresden",11,"[Garten, Keller]",True,,Wohnung,380 €,,51.08592,13.62984,Miete,01156,Dresden,Cossebaude/Mobschatz/Oberwartha,Mod. schöne 2 Raum  Wohnung Cossebaude,57 m²,2,False,33dc3469-935d-3338-b023-4f20dab659b5
43801013,"Bärensteiner Str.  26, Striesen-Ost, Dresden",18,"[Balkon/Terrasse, Garten, Keller, WG-geeignet]",False,,Wohnung,390 €,,51.03579,13.80171,Miete,01277,Dresden,Striesen-Ost,Süße 2-Zimmer-Single-Whg. in ruhiger Striesen,48 m²,2,False,d1011e47-eb6e-3334-a4e0-30aeecd51cfb
