# Haus Kauf from immoscout24.de on 2018-08-23-09-58
ID,Haus/Wohnung,ID,Miete/Kauf,address,cellar,city,floorplan,from,isBarrierFree,lat,livingSpace,lon,numberOfRooms,plotArea,postcode,price,privateOffer,quarter,title,url
99645205,Haus,99645205,Kauf,"Loschwitz/Wachwitz, Dresden",true,Dresden,false,001.293446,false,,315,,8,2290,01326,1800000,false,Loschwitz/Wachwitz,www.r-o.de+++ Denkmalgeschützte Villa in Bestlage von Dresden,https://www.immobilienscout24.de/expose/99645205
105154327,Haus,105154327,Kauf,"Weißig, Dresden",false,Dresden,true,002.01002840387,false,,237,,6,1532,01328,752394.6,false,Weißig,"Architektur, die verbindet! - Wohnen im Schönefelder Hochland",https://www.immobilienscout24.de/expose/105154327
106445307,Haus,106445307,Kauf,"Cossebaude/Mobschatz/Oberwartha, Dresden",false,Dresden,true,002.01008311556,false,,160.36,,5,750,01156,272706,false,Cossebaude/Mobschatz/Oberwartha,Familiengerechtes bauen mit Massa Haus in Brabschütz auf traumhaften 750 m²,https://www.immobilienscout24.de/expose/106445307
106587371,Haus,106587371,Kauf,"Pohrsdorfer Weg 1, Naußlitz, Dresden",false,Dresden,false,001.637078,false,51.03499,114,13.67696,4.5,178,01169,339900,false,Naußlitz,"30.08.2018 Vorstellung in DD-Roßthal nach Vereinbarung für Ihr Eigenheim mit 4,5-5,5 Zimmer !!! ",https://www.immobilienscout24.de/expose/106587371
102842625,Haus,102842625,Kauf,"Bühlau/Weißer Hirsch, Dresden",false,Dresden,false,001.118256,false,,295.88,,10,780,01324,1000000,false,Bühlau/Weißer Hirsch,Loschwitz - interessante Villa in Bestlage! Als Familien- u. Firmensitz nutzbar! www.cmdd.de,https://www.immobilienscout24.de/expose/102842625
89337458,Haus,89337458,Kauf,"Blasewitz, Dresden",true,Dresden,false,001.293446,false,,460,,12,1480,01309,1350000,false,Blasewitz,Residieren im Villenvorort Blasewitz,https://www.immobilienscout24.de/expose/89337458
103412833,Haus,103412833,Kauf,"Bühlau/Weißer Hirsch, Dresden",true,Dresden,false,001.10140,false,,220,,12,1000,01326,225000,false,Bühlau/Weißer Hirsch,"unsaniertes freistehendes MFH mit 3 Wohneinheiten (ca. 220 m² Wfl.) u. 1.000 m² Grundstück, 01326 DD",https://www.immobilienscout24.de/expose/103412833
106345506,Haus,106345506,Kauf,"Äußere Neustadt (Antonstadt), Dresden",true,Dresden,true,001.15943925,false,,180,,5,1028,01326,820000,false,Äußere Neustadt (Antonstadt),Modernes Familienwohnen in begehrter Lage - Helle Villa in Loschwitz,https://www.immobilienscout24.de/expose/106345506
105149132,Haus,105149132,Kauf,"Seidnitz/Dobritz, Dresden",false,Dresden,false,001.5394580,false,,778,,27,1090,01237,1650000,false,Seidnitz/Dobritz,MFH - Dresden,https://www.immobilienscout24.de/expose/105149132
95617818,Haus,95617818,Kauf,"Laubegast, Dresden",false,Dresden,false,001.838323,false,,134,,5,582,01279,509900,false,Laubegast,TOPLAGE ! EINFAMILIENHAUS IN LAUBEGAST,https://www.immobilienscout24.de/expose/95617818
100831504,Haus,100831504,Kauf,"Hosterwitz/Pillnitz, Dresden",false,Dresden,true,002.01002840387,false,,163,,5,600,01326,481108.6,false,Hosterwitz/Pillnitz,600 m2 - ein Blickfang! (KfW-Effizienzhaus 55),https://www.immobilienscout24.de/expose/100831504
103346627,Haus,103346627,Kauf,"Ziegeleistraße 9, Briesnitz, Dresden",false,Dresden,true,001.15347,false,51.05176,112,13.65686,4,375,01157,403590,false,Briesnitz,Erholung in Ihrem neuen Zuhause in Omsewitz: Doppelhaushälfte auf 112  m² Wohnfläche,https://www.immobilienscout24.de/expose/103346627
97903158,Haus,97903158,Kauf,"Saßnitzer Straße / Ecke Leeraue 34, Hellerau/Wilschdorf, Dresden",false,Dresden,true,001.15347,false,51.11791,122,13.72307,4,462,01109,438800,false,Hellerau/Wilschdorf,Jede Menge Freiraum bietet dieses Einfamilienhaus,https://www.immobilienscout24.de/expose/97903158
105908005,Haus,105908005,Kauf,"Briesnitz, Dresden",true,Dresden,true,001.878285,false,,134,,5,701,01156,420000,false,Briesnitz,Doppelhaus mit Weitblick !!!,https://www.immobilienscout24.de/expose/105908005
106595867,Haus,106595867,Kauf,"Plauen, Dresden",false,Dresden,false,001.328321,false,,491,,20,820,01187,895000,false,Plauen,Nachhaltiges Investment im Universitäts-Viertel Dresden Plauen,https://www.immobilienscout24.de/expose/106595867
106541469,Haus,106541469,Kauf,"Lockwitz, Dresden",false,Dresden,true,002.01000737423,false,,123,,4,480,01257,346360,false,Lockwitz,Willkommen Zuhause +++ Ihre Stadtvilla in Dresden.,https://www.immobilienscout24.de/expose/106541469
103127763,Haus,103127763,Kauf,"Laubegast, Dresden",true,Dresden,true,002.01000733534,false,,134,,5,413,01279,492900,false,Laubegast,Dresden-Ost - ruhige Lage & großzügiges Einfamilienhaus - überzeugen Sie sich selbst!,https://www.immobilienscout24.de/expose/103127763
105520533,Haus,105520533,Kauf,"Radeberger Vorstadt, Dresden",true,Dresden,true,001.878285,false,,312,,6.5,2290,01099,2200000,false,Radeberger Vorstadt,Stadtvilla in exponierter Lage!,https://www.immobilienscout24.de/expose/105520533
106660411,Haus,106660411,Kauf,"Pieschen-Süd, Dresden",false,Dresden,false,001.456215,false,,146,,5,326,01097,489900,false,Pieschen-Süd,Elbnahes Stadthaus in der Neustadt,https://www.immobilienscout24.de/expose/106660411
92580035,Haus,92580035,Kauf,"Caspar-David-Friedrich-Straße 9b, Strehlen, Dresden",true,Dresden,true,001.15896772,false,51.02653,749.25,13.75659,25,1163,01219,1370000,true,Strehlen,Renditestarkes Wohn- und Geschäftsgebäude am Tor zum Villenviertel von Strehlen,https://www.immobilienscout24.de/expose/92580035
103128045,Haus,103128045,Kauf,"Havemannstraße 1, Laubegast, Dresden",true,Dresden,true,002.01000733534,false,51.02287,134,13.82628,5,436,01279,551900,false,Laubegast,DD-Laubegast - letztes Grundstück in Traum-Südlage - jetzt besichtigen!,https://www.immobilienscout24.de/expose/103128045
105314854,Haus,105314854,Kauf,"Briesnitz, Dresden",true,Dresden,false,001.89027,false,,368,,15,780,01157,595000,false,Briesnitz,Komplett vermietetes 6-Familienhaus mit Ausbaureserve,https://www.immobilienscout24.de/expose/105314854
105534073,Haus,105534073,Kauf,"Gorbitz-Süd, Dresden",false,Dresden,true,002.01008311556,false,,216.01,,6,1102,01159,670919,false,Gorbitz-Süd,Selber einziehen und/oder vermieten - Mehrfamilienhaus in Löbtau-Nord !,https://www.immobilienscout24.de/expose/105534073
105498536,Haus,105498536,Kauf,"Bühlau/Weißer Hirsch, Dresden",false,Dresden,true,002.01008632977,false,,151,,6.5,752,01324,660000,false,Bühlau/Weißer Hirsch,01324 Dresden/Bühlau - neues KfW40Plus-HAUS inkl. Grundstück,https://www.immobilienscout24.de/expose/105498536
101519318,Haus,101519318,Kauf,"Konkordienstraße 53, Pieschen-Süd, Dresden",false,Dresden,true,009.b53aad87-e127-454c-aaab-a7cb20b26aa6,true,51.07588,108.7,13.72176,4,85,01127,399000,false,Pieschen-Süd,Einfamilienhaus mit Garten in zweiter Reihe,https://www.immobilienscout24.de/expose/101519318
106418479,Haus,106418479,Kauf,"Oybiner Str. 26, Bühlau/Weißer Hirsch, Dresden",true,Dresden,true,001.2429859,false,51.06538,396,13.85607,14,664,01324,1350000,false,Bühlau/Weißer Hirsch,Denkmalschutz-MFH in Dresden-Bühlau,https://www.immobilienscout24.de/expose/106418479
106860494,Haus,106860494,Kauf,"Weixdorf, Dresden",false,Dresden,false,001.438977,false,,113,,4,343,01108,425000,false,Weixdorf,"Neues, hochwertiges Energiesparhaus in ausgezeichneter Wohnlage im Norden von Dresden",https://www.immobilienscout24.de/expose/106860494
104455150,Haus,104455150,Kauf,"Südvorstadt-Ost, Dresden",false,Dresden,true,001.118256,false,,168.79,,5,420,01069,395000,false,Südvorstadt-Ost,Beutlerpark - TOP LAGE! DHH mit großem Ausbaupotential - sanierungsbedürftig! www.cmdd.de,https://www.immobilienscout24.de/expose/104455150
98537788,Haus,98537788,Kauf,"Klotzsche, Dresden",false,Dresden,true,002.01007420811,false,,146,,5,510,01109,212869,false,Klotzsche,Starten statt warten! Schöner leben!,https://www.immobilienscout24.de/expose/98537788
95800164,Haus,95800164,Kauf,"Loschwitz/Wachwitz, Dresden",true,Dresden,true,002.01005274410,false,,180,,9,1590,01326,550000,false,Loschwitz/Wachwitz,"Winzerhaus: * Romantischer Garten, großzügiges Grundstück *Stilvolles Ambiente * Lieberhaberobjekt*",https://www.immobilienscout24.de/expose/95800164
106484039,Haus,106484039,Kauf,"Cossebaude/Mobschatz/Oberwartha, Dresden",false,Dresden,false,002.01007292973,false,,315,,10,840,01156,749000,false,Cossebaude/Mobschatz/Oberwartha,Anlage-Oase für Kapitalanleger.,https://www.immobilienscout24.de/expose/106484039
106466438,Haus,106466438,Kauf,"Loschwitz/Wachwitz, Dresden",true,Dresden,false,001.504097,false,,1100,,18,0,01326,1550000,false,Loschwitz/Wachwitz,Löw Immobilien - Lassen sie ihren Ideen freien Lauf,https://www.immobilienscout24.de/expose/106466438
106362545,Haus,106362545,Kauf,"Lockwitz, Dresden",true,Dresden,true,001.838323,false,,146.25,,5,90,01257,445000,false,Lockwitz,HISTORISCHE HOFANLAGE ALTLOCKWITZ,https://www.immobilienscout24.de/expose/106362545
105801112,Haus,105801112,Kauf,"Plauen, Dresden",true,Dresden,false,001.838323,false,,211,,8,400,01187,595000,false,Plauen,SANIERTES EINFAMILIENHAUS MIT EINLIEGERWOHNUNG IM BELIEBTEN PLAUEN,https://www.immobilienscout24.de/expose/105801112
106362559,Haus,106362559,Kauf,"Lockwitz, Dresden",true,Dresden,true,001.838323,false,,135.42,,4,80,01257,411000,false,Lockwitz,HISTORISCHE HOFANLAGE ALTLOCKWITZ,https://www.immobilienscout24.de/expose/106362559
106454821,Haus,106454821,Kauf,"Hosterwitz/Pillnitz, Dresden",false,Dresden,true,001.293747,false,,143,,7,302,01328,360000,false,Hosterwitz/Pillnitz,Großzügiges Niedrigenergiehaus mit 7 Zimmern im Schönfelder Hochland,https://www.immobilienscout24.de/expose/106454821
104721250,Haus,104721250,Kauf,"Klotzsche, Dresden",false,Dresden,false,001.456215,false,,132,,5,940,01109,432900,false,Klotzsche,Dresden Nord letztes Grundstück,https://www.immobilienscout24.de/expose/104721250
106731083,Haus,106731083,Kauf,"Bühlau/Weißer Hirsch, Dresden",false,Dresden,false,002.01005891714,false,,233.2,,18,207,01324,495000,false,Bühlau/Weißer Hirsch,Attraktives Investment! Kleines Wohn- und Geschäftshaus in TOP Lage - Weißer Hirsch - Dresden!,https://www.immobilienscout24.de/expose/106731083
105445080,Haus,105445080,Kauf,"Hosterwitz/Pillnitz, Dresden",false,Dresden,false,001.438977,false,,143,,7,303,01328,360000,false,Hosterwitz/Pillnitz,Hochwertiges Energiesparhaus in exzellenter Randlage von Dresden,https://www.immobilienscout24.de/expose/105445080
106555544,Haus,106555544,Kauf,"Loschwitz/Wachwitz, Dresden",true,Dresden,true,001.328321,false,,97.25,,4,670,01326,265000,false,Loschwitz/Wachwitz,Familienwohnsitz mit Weitsicht,https://www.immobilienscout24.de/expose/106555544
106514165,Haus,106514165,Kauf,"Hosterwitz/Pillnitz, Dresden",true,Dresden,true,001.2132131,false,,185,,7,1300,01326,538000,false,Hosterwitz/Pillnitz,Einfamilienhaus mit Ausblick,https://www.immobilienscout24.de/expose/106514165
105999902,Haus,105999902,Kauf,"Gönnsdorf/Pappritz, Dresden",false,Dresden,true,001.2132131,false,,420,,6,1900,01328,850000,false,Gönnsdorf/Pappritz,Einfamilienhaus mit großzügigem Grundstück im Schönfelder Hochland,https://www.immobilienscout24.de/expose/105999902
104987872,Haus,104987872,Kauf,"Havemannstraße 1, Laubegast, Dresden",true,Dresden,true,002.01000733534,false,51.02287,134,13.82628,5,411,01279,492900,false,Laubegast,DD-Laubegast - Einfamilienhaus Projekt in Traumlage - jetzt besichtigen!,https://www.immobilienscout24.de/expose/104987872
106705323,Haus,106705323,Kauf,"Langebrück/Schönborn, Dresden",false,Dresden,true,002.01008726620,false,,131,,6,980,01465,345000,false,Langebrück/Schönborn,Landschaftliche Idylle nahe der Großstadt,https://www.immobilienscout24.de/expose/106705323
104342290,Haus,104342290,Kauf,"Scharfensteinstr. 4, Bühlau/Weißer Hirsch, Dresden",true,Dresden,false,001.10140,false,51.05721,220,13.83376,12,1000,01326,225000,false,Bühlau/Weißer Hirsch,unsaniertes EFH (ca. 220 m² Wohnfläche) mit Einliegerwohnung u. 1.000 m² Grundstück in 01326 Dresden,https://www.immobilienscout24.de/expose/104342290
94190362,Haus,94190362,Kauf,"Strehlen, Dresden",false,Dresden,true,001.15660,false,,240,,6,930,01219,1000000,false,Strehlen,Exklusive Stadtvilla mit 240 m² Wohnfläche und großem Grundstück in Strehlen,https://www.immobilienscout24.de/expose/94190362
94648103,Haus,94648103,Kauf,"Briesnitz, Dresden",false,Dresden,true,002.01007820383,false,,145,,5,600,01157,215999,false,Briesnitz,Ihr neues Traumhaus in Goppeln - direkt vom Ausbauhaus-Marktführer!,https://www.immobilienscout24.de/expose/94648103
103052816,Haus,103052816,Kauf,"Gompitz/Altfranken, Dresden",false,Dresden,false,001.328321,false,,168,,4,819,01156,1065000,false,Gompitz/Altfranken,Design und Qualität der Extraklasse im Dresdner Westen,https://www.immobilienscout24.de/expose/103052816
106151289,Haus,106151289,Kauf,"Radeberger Vorstadt, Dresden",false,Dresden,false,001.328321,false,,203.5,,5,1,01099,399000,false,Radeberger Vorstadt,Wohnungspaket in 01099 Dresden 5 Einraumwohnungen,https://www.immobilienscout24.de/expose/106151289
106149219,Haus,106149219,Kauf,"Trachau, Dresden",true,Dresden,false,001.328321,false,,64,,3,153,01129,150000,false,Trachau,Kleines Reihenhaus in Dresden-Trachau,https://www.immobilienscout24.de/expose/106149219
105702282,Haus,105702282,Kauf,"Hellerau/Wilschdorf, Dresden",true,Dresden,false,001.328321,false,,158,,7,720,01109,330000,false,Hellerau/Wilschdorf,Ein- oder Zweifamilienhaus in Dresden-Hellerau,https://www.immobilienscout24.de/expose/105702282
105878377,Haus,105878377,Kauf,"Pieschen-Süd, Dresden",false,Dresden,true,002.01007154318,false,,287,,11,0,01127,455000,false,Pieschen-Süd,Investieren - Mehrfamilienhaus in Dresden,https://www.immobilienscout24.de/expose/105878377
105916299,Haus,105916299,Kauf,"Kleinzschachwitz, Dresden",false,Dresden,false,002.01002845700,false,,94,,3,540,01259,399000,false,Kleinzschachwitz,***RICHERT & CO - Doppelhaushälfte in bester Wohnlage Dresdens***,https://www.immobilienscout24.de/expose/105916299
102202794,Haus,102202794,Kauf,"Friedrich-Hegel-Straße 10, Plauen, Dresden",true,Dresden,true,001.13137176,false,51.02489,448,13.71019,15.5,1480,01187,2150000,false,Plauen,Absolute Rarität: Denkmal-Villa inkl. Sanierung in Bestlage zu verkaufen!,https://www.immobilienscout24.de/expose/102202794
98055428,Haus,98055428,Kauf,"Cossebaude/Mobschatz/Oberwartha, Dresden",true,Dresden,true,001.138918,false,,180,,10,1150,01156,499000,false,Cossebaude/Mobschatz/Oberwartha,Villa in Stadtrandlage - grün und nah an Dresdens Mitte,https://www.immobilienscout24.de/expose/98055428
105850703,Haus,105850703,Kauf,"Gönnsdorf/Pappritz, Dresden",false,Dresden,false,002.01002845700,false,,434.34,,15,744,01328,800000,false,Gönnsdorf/Pappritz,***RICHERT & CO - Kleines Mehrfamilienhaus in Dresden-Cunnersdorf als Invest oder Eigennutzung***,https://www.immobilienscout24.de/expose/105850703
106541464,Haus,106541464,Kauf,"Lockwitz, Dresden",false,Dresden,true,002.01000737423,false,,123,,5,480,01257,362332,false,Lockwitz,Endlich Kuschelabende im eigenen Haus!,https://www.immobilienscout24.de/expose/106541464
103914489,Haus,103914489,Kauf,"Naußlitz, Dresden",true,Dresden,true,001.8150975,false,,240,,8,900,01159,685000,false,Naußlitz,Außergewöhnliches Einfamilienhaus mit Option für gewerbliche Nutzung in ruhiger Lage!!!,https://www.immobilienscout24.de/expose/103914489
106731522,Haus,106731522,Kauf,"Naußlitz, Dresden",false,Dresden,false,001.226664,false,,140,,5,6121,01189,275000,false,Naußlitz,Doppelhaus mit großen Garten in Bahnlage,https://www.immobilienscout24.de/expose/106731522
106241312,Haus,106241312,Kauf,"Cossebaude/Mobschatz/Oberwartha, Dresden",false,Dresden,true,002.01008703407,true,,124.46,,4,1450,01156,155189,false,Cossebaude/Mobschatz/Oberwartha,Mit Raffinesse und Individualität  -   Näheres unter: 01733727479,https://www.immobilienscout24.de/expose/106241312
104164905,Haus,104164905,Kauf,"Hellerau/Wilschdorf, Dresden",true,Dresden,true,002.01005274410,false,,222,,6,810,01109,330000,false,Hellerau/Wilschdorf,DRESDNER NORDEN - Wohnhaus viel Platz: Wohnen/ Büro/ Mehrgenerationshaus (mit Dorfkern-Charakter),https://www.immobilienscout24.de/expose/104164905
98056699,Haus,98056699,Kauf,"Cossebaude/Mobschatz/Oberwartha, Dresden",true,Dresden,true,001.138918,false,,180,,10,1150,01156,499000,false,Cossebaude/Mobschatz/Oberwartha,"Schmuckstück , auch für zwei Familien",https://www.immobilienscout24.de/expose/98056699
106541113,Haus,106541113,Kauf,"Gompitz/Altfranken, Dresden",true,Dresden,false,001.15502642,false,,101,,4,922,01156,420000,false,Gompitz/Altfranken,Freundliches Einfamilienhaus für die kleine Familie,https://www.immobilienscout24.de/expose/106541113
106680208,Haus,106680208,Kauf,"Laubegast, Dresden",true,Dresden,true,001.993679,false,,134,,5,402,01279,486900,false,Laubegast,"IHR NEUES ZUHAUSE in Laubegast, in ruhiger Lage mit guter Infrastruktur!",https://www.immobilienscout24.de/expose/106680208
106588001,Haus,106588001,Kauf,"Reick, Dresden",true,Dresden,true,001.15502642,false,,320,,8,1736,01237,950000,false,Reick,Denkmalgeschütztes Familienidyll,https://www.immobilienscout24.de/expose/106588001
106663080,Haus,106663080,Kauf,"Weißig, Dresden",false,Dresden,false,001.328321,false,,30,,1,375,01328,23000,false,Weißig,Entspannen Sie zum Feierabend in Ihrem neuen Garten!,https://www.immobilienscout24.de/expose/106663080
103324402,Haus,103324402,Kauf,"Blasewitz, Dresden",false,Dresden,false,001.186281,false,,928.24,,13,7570,01309,4500000,false,Blasewitz,Repräsentative Villa in Dresden-Blasewitz direkt am Elbufer,https://www.immobilienscout24.de/expose/103324402
98997784,Haus,98997784,Kauf,"Briesnitz, Dresden",false,Dresden,true,001.4374375,false,,190,,6,350,01157,549000,false,Briesnitz,Lassen Sie Ihren Traum vom Wohnen wahr werden!,https://www.immobilienscout24.de/expose/98997784
99346734,Haus,99346734,Kauf,"Loschwitz/Wachwitz, Dresden",true,Dresden,false,001.726746,false,,315,,12,2290,01326,1800000,false,Loschwitz/Wachwitz,denkmalgeschützte Villa mit grünem Grundstück,https://www.immobilienscout24.de/expose/99346734
106483311,Haus,106483311,Kauf,"Gompitz/Altfranken, Dresden",true,Dresden,true,001.668657,false,,125,,4,449,01156,449000,false,Gompitz/Altfranken,"Rarität! Sehr schönes Einfamilienhaus mit Pool, Kamin und Sauna in guter Lage von Pennrich!",https://www.immobilienscout24.de/expose/106483311
106643571,Haus,106643571,Kauf,"Helfenberger Grund 8c, Gönnsdorf/Pappritz, Dresden",true,Dresden,true,009.f7330f2d-9199-4eac-a1ad-d76bcee34e05,false,51.03143,380,13.85332,7,392,01326,650000,true,Gönnsdorf/Pappritz,Loft mit Dachterrasse im Grünen,https://www.immobilienscout24.de/expose/106643571
76782792,Haus,76782792,Kauf,"Räcknitz/Zschertnitz, Dresden",true,Dresden,true,001.995738,false,,450,,11,1546,01219,990000,false,Räcknitz/Zschertnitz,"Villa-Gästehaus in DD-Strehlen, ideal für Wohnung & Büro & Praxis,- saniert",https://www.immobilienscout24.de/expose/76782792
106856835,Haus,106856835,Kauf,"Bühlau/Weißer Hirsch, Dresden",true,Dresden,false,001.290794,false,,182,,7,770,01326,380000,false,Bühlau/Weißer Hirsch,Wohnen im Loft-Charakter in Loschwitz,https://www.immobilienscout24.de/expose/106856835
106845792,Haus,106845792,Kauf,"Langebrück/Schönborn, Dresden",true,Dresden,false,001.430632,false,,210,,8,1250,01465,750000,false,Langebrück/Schönborn,Besonders schmuckes Juwel im Norden von Dresden  ,https://www.immobilienscout24.de/expose/106845792
106845731,Haus,106845731,Kauf,"Lockwitz, Dresden",false,Dresden,true,001.430632,false,,122,,4,0,01259,310000,false,Lockwitz,Einzugsbereites Haus mit gut vermieteter Teilfläche zu verkaufen!,https://www.immobilienscout24.de/expose/106845731
